name,altitude,latitude,longitude
els Cloterons,2179,42.238167,1.626014
Tuc de Sanèla,2178,42.717509,0.834576
Tossal de la Moixa,2177,42.492797,0.753349
Tuc de Letassi,2176,42.703976,0.752437
Montcorbison,2173,42.707818,0.758684
Cap de la Canal Llisa,2171,42.187756,1.755849
Moró,2168,42.490176,1.044522
Cap dera Sèrra,2166,42.844362,0.743693
els Orris,2166,42.297685,1.901469
la Trona de Castell Cervós,2165,42.381457,2.183736
Cap de la Rocagran,2163,42.610782,1.190622
Tossal de Pamano,2161,42.457463,1.021631
Ticò Blanc,2161,42.672862,0.897889
Muntanyeta de Besan,2157,42.567032,1.290191
la Meda,2157,42.621388,1.360342
Cap de l'Obaga Erneda,2157,42.580269,1.351538
Tossal de l'Àliga,2156,42.3092,0.83838
Malh des Vivèrs,2154,42.685535,0.85291
Tuc Ròi,2153,42.708316,0.682389
Roca del Llamp,2149,41.110146,0.866968
Montagut,2149,42.189154,1.054036
Cap de l'Obaga de Companys,2142,42.182938,1.481478
Tuc de Campsaure,2142,42.734034,0.669948
Tossal de la Collada Gran,2141,42.446471,0.968354
Pla de Llet,2141,42.404635,1.632254
Tuc de Betlan,2141,42.80318,0.787381
la Trona de Guardiola,2136,42.381508,2.208966
Cap de la Devesa,2133,42.452511,1.373207
el Castell dels Moros,2132,42.190197,1.697501
lo Castell dels Moros,2132,42.03872,0.999702
Castell dels Moros,2132,42.195871,1.863532
Tuc de Socodonh,2130,42.736973,0.842401
Roca Gran de Ferrús,2128,42.183873,1.738463
Tuc d'Angost,2127,42.850422,0.679295
Cap de l'Escobedo,2123,42.595072,1.169917
Tossalet des Mentides,2122,42.554806,0.849957
lo Molló,2116,40.616489,0.430534
Malh Nere,2108,42.662628,0.826721
el Faro,2108,41.523702,0.618526
Mongetes,2106,42.440807,1.352622
l'Espluga del Feixar,2106,42.152944,1.546488
Pic d'Agüioles,2104,42.631508,1.273195
Roc de Setfonts,2103,42.252148,1.688614
Pedró de Fontalba,2102,42.368104,2.154336
Roques de les Maioneses,2101,42.377183,2.248934
Cap del Pont,2101,42.31073,1.862172
Pèires dera Mòrto,2100,42.759426,0.915543
Tuc de Coeisseca,2100,42.773088,0.740013
Piflorit,2096,42.480268,1.138424
Roc Roi,2095,42.441025,0.841378
Roca de la Feixa,2092,42.503598,0.838715
Moixeró,2090,42.299596,1.821816
Roca Gran,2088,42.615498,1.164454
Puig Cubell,2088,42.161762,1.91726
Era Trona,2087,42.750309,0.665258
Puig Sequer,2086,42.320957,1.859002
Bony dels Roures,2086,42.559952,0.822969
Roques Negres,2085,42.474254,1.036065
Cap de Juverri,2085,42.475623,1.285761
Pui de Cassibrós,2085,42.560717,1.264843
Tuc dera Montanheta,2085,42.67308,0.943083
Cap deth Solan,2084,42.713099,0.931101
el Pedró,2079,42.018071,1.328555
lo Pedró,2079,42.0478,0.741193
Roc Verd,2079,42.380734,2.207761
la Roca Negra,2077,41.467379,0.541225
Cap de Boumort,2077,42.235018,1.134659
la Comella,2076,42.323906,1.939218
Tuc d'Aubars,2072,42.751913,0.660896
